Timestamp,Month,Day,Hour,Total Hours,Load,PV,Tou Tariff,FiT,H2 Tariff
04/01/2023,1,3,10,82,1549,80.895,0.1201203,0.06006015,0.360036004
04/01/2023,1,3,11,83,1759,1854.87,0.1195146,0.0597573,0.301433677
04/01/2023,1,3,12,84,1754,133.013,0.1170837,0.05854185,0.318068255
04/01/2023,1,3,13,85,1768,117.023,0.1152207,0.05761035,0.238361534
04/01/2023,1,3,14,86,1799,112.945,0.1138869,0.05694345,0.189876598
04/01/2023,1,3,15,87,1724,0,0.1171881,0.05859405,0.360036004
04/01/2023,1,3,16,88,1786,0,0.120177,0.0600885,0.255351032
04/01/2023,1,3,17,89,1757,0,0.1202625,0.06013125,0.315258598
04/01/2023,1,3,18,90,1692,0,0.1193634,0.0596817,0.240357756
04/01/2023,1,3,19,91,1805,0,0.117027,0.0585135,0.182512538
04/01/2023,1,3,20,92,1762,0,0.1136124,0.0568062,0.156557753
04/01/2023,1,3,21,93,1758,0,0.1152396,0.0576198,0.298428366
04/01/2023,1,3,22,94,1714,0,0.1093842,0.0546921,0.360036004
05/01/2023,1,3,23,95,1772,0,0.1040022,0.0520011,0.360036004
05/01/2023,1,4,0,96,1729,0,0.0976914,0.0488457,0.164174874
05/01/2023,1,4,1,97,1784,0,0.0935046,0.0467523,0.237965673
05/01/2023,1,4,2,98,1811,0,0.0928296,0.0464148,0.18210096
05/01/2023,1,4,3,99,1394,0,0.0869265,0.04346325,0.206329409
05/01/2023,1,4,4,100,1477,0,0.0963702,0.0481851,0.166862655
05/01/2023,1,4,5,101,1448,0,0.0976914,0.0488457,0.313079884
05/01/2023,1,4,6,102,1402,0,0.1061217,0.05306085,0.22077842
05/01/2023,1,4,7,103,1806,0,0.1159794,0.0579897,0.152631091
05/01/2023,1,4,8,104,2009.36,0,0.1178028,0.0589014,0.348496787
05/01/2023,1,4,9,105,1946.36,0,0.1249695,0.06248475,0.218698342
05/01/2023,1,4,10,106,1985.36,406.523,0.1313163,0.06565815,0.324055451
05/01/2023,1,4,11,107,2048.36,1766.98,0.1380006,0.0690003,0.326764524
05/01/2023,1,4,12,108,1955.36,3666,0.1359171,0.06795855,0.321976959
05/01/2023,1,4,13,109,1785,3983.26,0.1377783,0.06888915,0.360036004
05/01/2023,1,4,14,110,1556,376.293,0.1441062,0.0720531,0.222906236
05/01/2023,1,4,15,111,1386.845,0,0.1497006,0.0748503,0.108502633
05/01/2023,1,4,16,112,1934.845,0,0.1614492,0.0807246,0.360036004
05/01/2023,1,4,17,113,1915.845,0,0.1823607,0.09118035,0.208937808
05/01/2023,1,4,18,114,1867,0,0.1821195,0.09105975,0.353051344
05/01/2023,1,4,19,115,1777,0,0.1661751,0.08308755,0.360036004
05/01/2023,1,4,20,116,1855,0,0.1531152,0.0765576,0.360036004
05/01/2023,1,4,21,117,1937.875,0,0.1433538,0.0716769,0.235752779
05/01/2023,1,4,22,118,1936.875,0,0.1361682,0.0680841,0.202004875
06/01/2023,1,4,23,119,1949.875,0,0.1224999,0.06124995,0.360036004
06/01/2023,1,5,0,120,1988.875,0,0.1062315,0.05311575,0.196407359
06/01/2023,1,5,1,121,1958.875,0,0.1004976,0.0502488,0.314349034
06/01/2023,1,5,2,122,1998.875,0,0.0959877,0.04799385,0.360036004
06/01/2023,1,5,3,123,1944.875,0,0.0818802,0.0409401,0.22436333
06/01/2023,1,5,4,124,1933.875,0,0.0814851,0.04074255,0.178760966
06/01/2023,1,5,5,125,1953.875,0,0.0835569,0.04177845,0.285501426
06/01/2023,1,5,6,126,1923.875,0,0.0967104,0.0483552,0.131954271
06/01/2023,1,5,7,127,1712.875,0,0.1068966,0.0534483,0.293779073
06/01/2023,1,5,8,128,1750.875,0,0.1163115,0.05815575,0.138341917
06/01/2023,1,5,9,129,1413.795,0,0.115704,0.057852,0.289791797
06/01/2023,1,5,10,130,1473.795,0,0.1127268,0.0563634,0.139261555
06/01/2023,1,5,11,131,1522.795,716.228,0.1127358,0.0563679,0.192448651
06/01/2023,1,5,12,132,1470.795,12524.9,0.1141236,0.0570618,0.309854626
06/01/2023,1,5,13,133,1524.795,7006.88,0.1122057,0.05610285,0.360036004
06/01/2023,1,5,14,134,1481.795,1012.46,0.116253,0.0581265,0.235780742
06/01/2023,1,5,15,135,1498.795,0,0.1241649,0.06208245,0.300425004
06/01/2023,1,5,16,136,1487.795,0,0.130689,0.0653445,0.28648366
06/01/2023,1,5,17,137,1448.795,0,0.1452393,0.07261965,0.225722473
06/01/2023,1,5,18,138,1494.795,0,0.1404306,0.0702153,0.302388754
06/01/2023,1,5,19,139,1341,0,0.1367496,0.0683748,0.342801472
06/01/2023,1,5,20,140,1469,0,0.130149,0.0650745,0.147371222
06/01/2023,1,5,21,141,1470,0,0.1233171,0.06165855,0.182497702
06/01/2023,1,5,22,142,1430,0,0.1214955,0.06074775,0.144078006
07/01/2023,1,5,23,143,1440,0,0.1168893,0.05844465,0.237735016
07/01/2023,1,6,0,144,1506,0,0.1102806,0.0551403,0.308423038
07/01/2023,1,6,1,145,1461,0,0.0988578,0.0494289,0.360036004
07/01/2023,1,6,2,146,1475,0,0.0960804,0.0480402,0.212805249
07/01/2023,1,6,3,147,1537,0,0.0879993,0.04399965,0.21668641
07/01/2023,1,6,4,148,1499,0,0.0831906,0.0415953,0.304263048
07/01/2023,1,6,5,149,1710,0,0.0837837,0.04189185,0.268110117
07/01/2023,1,6,6,150,1709,0,0.090981,0.0454905,0.158052585
07/01/2023,1,6,7,151,1728,0,0.1027143,0.05135715,0.151884433
07/01/2023,1,6,8,152,1791,0,0.1086489,0.05432445,0.346406033
07/01/2023,1,6,9,153,1733,0,0.1087848,0.0543924,0.184746294
07/01/2023,1,6,10,154,1724,131.001,0.1037142,0.0518571,0.292882934
07/01/2023,1,6,11,155,1614,6465.73,0.0982944,0.0491472,0.360036004
07/01/2023,1,6,12,156,1408,12549.3,0.0985761,0.04928805,0.233371481
07/01/2023,1,6,13,157,1363,11129.2,0.097119,0.0485595,0.279599886
07/01/2023,1,6,14,158,1355,0,0.0970515,0.04852575,0.360036004
07/01/2023,1,6,15,159,1417,0,0.0965466,0.0482733,0.2426382
07/01/2023,1,6,16,160,1371,0,0.097119,0.0485595,0.235947024
07/01/2023,1,6,17,161,1595,0,0.0986445,0.04932225,0.35164648
07/01/2023,1,6,18,162,1817,0,0.0997614,0.0498807,0.360036004
07/01/2023,1,6,19,163,1814,0,0.0948078,0.0474039,0.324552257
07/01/2023,1,6,20,164,1808,0,0.0880668,0.0440334,0.152351469
07/01/2023,1,6,21,165,1865,0,0.0724482,0.0362241,0.156962318
07/01/2023,1,6,22,166,1828,0,0.0630954,0.0315477,0.331840372
08/01/2023,1,6,23,167,1814,0,0.0383364,0.0191682,0.196743789
08/01/2023,1,0,0,168,1757,0,0.0234297,0.01171485,0.298581459
08/01/2023,1,0,1,169,1500,0,0.039564,0.019782,0.360036004
08/01/2023,1,0,2,170,1572,0,0.0212634,0.0106317,0.258737759
08/01/2023,1,0,3,171,1958,0,0.0205632,0.0102816,0.307067879
08/01/2023,1,0,4,172,1854.835,0,0.0106128,0.0053064,0.305637692
08/01/2023,1,0,5,173,1914.835,0,0.017937,0.0089685,0.279002915
08/01/2023,1,0,6,174,1874.835,0,0.0222885,0.01114425,0.360036004
